countrycode,country,date,retail,grocery,parks,transit,workplaces,residential,stringencyindex,c1_school_closing,c2_workplace_closing,c3_cancel_public_events,c4_restrictions_on_gatherings,c5_close_public_transport,c6_stay_at_home_requirements,c7_restrictions_on_internal_movement,c8_international_travel_controls,e1_income_support,confirmedcases,confirmeddeaths
BR,Brazil,2020-02-15,5.0,4.0,-5.0,8.0,6.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-16,2.0,3.0,-13.0,3.0,0.0,1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-17,-2.0,0.0,-12.0,9.0,19.0,-1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-18,-3.0,-1.0,-11.0,9.0,15.0,-1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-19,-1.0,-2.0,-5.0,8.0,14.0,-1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-20,1.0,7.0,2.0,11.0,15.0,-2.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-21,2.0,10.0,1.0,12.0,13.0,-1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-22,-3.0,6.0,12.0,6.0,-4.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-23,4.0,7.0,32.0,2.0,-3.0,1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-24,-14.0,-7.0,69.0,-27.0,-45.0,8.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-25,-31.0,-29.0,51.0,-35.0,-61.0,10.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-26,-18.0,-11.0,-8.0,-17.0,-18.0,6.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-27,-8.0,2.0,-11.0,1.0,10.0,1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-28,-5.0,3.0,-17.0,2.0,13.0,1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-02-29,-3.0,5.0,-23.0,-2.0,5.0,3.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-01,-9.0,3.0,-34.0,-10.0,-1.0,5.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-02,-6.0,1.0,-25.0,6.0,20.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-03,-5.0,2.0,-21.0,6.0,15.0,-1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-04,-1.0,2.0,-11.0,7.0,16.0,-1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-05,0.0,7.0,-5.0,10.0,18.0,-2.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-06,6.0,11.0,-7.0,13.0,18.0,-2.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-07,9.0,13.0,-14.0,8.0,7.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-08,8.0,11.0,-17.0,2.0,3.0,1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-09,1.0,5.0,-12.0,12.0,21.0,-2.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-10,0.0,5.0,-11.0,11.0,17.0,-2.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-11,1.0,2.0,-6.0,10.0,17.0,-1.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-12,-2.0,4.0,-5.0,10.0,17.0,-2.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
BR,Brazil,2020-03-13,0.0,7.0,-8.0,10.0,18.0,-2.0,27.78,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,,
BR,Brazil,2020-03-14,-2.0,7.0,-15.0,0.0,6.0,1.0,27.78,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,,
BR,Brazil,2020-03-15,-8.0,7.0,-21.0,-7.0,0.0,3.0,27.78,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,,
BR,Brazil,2020-03-16,-11.0,6.0,-23.0,-4.0,14.0,1.0,30.56,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,,
BR,Brazil,2020-03-17,-19.0,7.0,-28.0,-15.0,3.0,4.0,39.81,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
BR,Brazil,2020-03-18,-25.0,5.0,-28.0,-22.0,-6.0,7.0,50.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0
BR,Brazil,2020-03-19,-36.0,2.0,-34.0,-31.0,-17.0,10.0,50.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0
BR,Brazil,2020-03-20,-45.0,0.0,-45.0,-37.0,-21.0,13.0,81.02,3.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,7.0,0.0
BR,Brazil,2020-03-21,-63.0,-16.0,-66.0,-50.0,-30.0,16.0,81.02,3.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,11.0,0.0
BR,Brazil,2020-03-22,-72.0,-33.0,-75.0,-60.0,-34.0,17.0,81.02,3.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,11.0,0.0
BR,Brazil,2020-03-23,-65.0,-26.0,-61.0,-58.0,-42.0,20.0,81.02,3.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,17.0,0.0
BR,Brazil,2020-03-24,-71.0,-33.0,-62.0,-63.0,-51.0,22.0,82.41,3.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,21.0,0.0
BR,Brazil,2020-03-25,-69.0,-32.0,-57.0,-63.0,-52.0,23.0,82.41,3.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,23.0,0.0
BR,Brazil,2020-03-26,-69.0,-29.0,-54.0,-62.0,-50.0,22.0,82.41,3.0,3.0,2.0,4.0,1.0,1.0,2.0,3.0,0.0,23.0,0.0
BR,Brazil,2020-03-27,-67.0,-26.0,-56.0,-60.0,-48.0,23.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,0.0,25.0,0.0
BR,Brazil,2020-03-28,-70.0,-27.0,-64.0,-59.0,-41.0,19.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,0.0,25.0,0.0
BR,Brazil,2020-03-29,-71.0,-35.0,-70.0,-62.0,-34.0,17.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,0.0,34.0,0.0
BR,Brazil,2020-03-30,-62.0,-26.0,-55.0,-59.0,-43.0,20.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,0.0,41.0,0.0
BR,Brazil,2020-03-31,-60.0,-21.0,-53.0,-58.0,-45.0,19.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,0.0,42.0,0.0
BR,Brazil,2020-04-01,-58.0,-19.0,-48.0,-57.0,-45.0,20.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,0.0,43.0,0.0
BR,Brazil,2020-04-02,-59.0,-17.0,-48.0,-57.0,-45.0,20.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,45.0,0.0
BR,Brazil,2020-04-03,-60.0,-14.0,-52.0,-55.0,-42.0,20.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,46.0,0.0
BR,Brazil,2020-04-04,-63.0,-13.0,-60.0,-53.0,-35.0,16.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,46.0,0.0
BR,Brazil,2020-04-05,-67.0,-24.0,-66.0,-57.0,-30.0,15.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,48.0,0.0
BR,Brazil,2020-04-06,-56.0,-14.0,-53.0,-53.0,-38.0,18.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,50.0,1.0
BR,Brazil,2020-04-07,-53.0,-8.0,-50.0,-53.0,-40.0,17.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,50.0,2.0
BR,Brazil,2020-04-08,-52.0,-7.0,-46.0,-52.0,-40.0,18.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,58.0,2.0
BR,Brazil,2020-04-09,-49.0,11.0,-40.0,-49.0,-41.0,16.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,62.0,2.0
BR,Brazil,2020-04-10,-76.0,-38.0,-58.0,-69.0,-72.0,27.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,70.0,2.0
BR,Brazil,2020-04-11,-59.0,-5.0,-59.0,-52.0,-36.0,16.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,72.0,2.0
BR,Brazil,2020-04-12,-67.0,-25.0,-67.0,-55.0,-26.0,13.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,77.0,2.0
BR,Brazil,2020-04-13,-54.0,-19.0,-52.0,-53.0,-35.0,17.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,90.0,3.0
BR,Brazil,2020-04-14,-56.0,-20.0,-54.0,-55.0,-39.0,18.0,85.19,3.0,3.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,99.0,3.0
