Date,Country,Category,ProductName,PaymentMethod,OrderPriority,ReturnStatus,ReturnBinary,UnitPrice,Quantity,Discount,ShippingCost,Revenue,Discount_Amount,Net_Revenue,Estimated_Profit,Profit_per_unit,Effective_UnitPrice,Shipping_Burden,Order_Value,stringencyindex,stay_home_requirement,is_covid,is_lockdown
2018-01-01,Not Available,Auto & Accessories,Tyre,credit_card,High,Not Available,0,250.0,1.0,0.1,16.5,250.0,25.0,225.0,208.5,208.5,225.0,0.07333333333333333,241.5,0.0,0.0,0,0
2018-01-01,Not Available,Fashion,Running Shoes,credit_card,Critical,Not Available,0,224.0,1.0,0.4,14.0,224.0,89.60000000000001,134.39999999999998,120.39999999999998,120.39999999999998,134.39999999999998,0.10416666666666669,148.39999999999998,0.0,0.0,0,0
2018-01-01,Not Available,Fashion,Suits,credit_card,High,Not Available,0,109.0,1.0,0.4,2.5,109.0,43.6,65.4,62.900000000000006,62.900000000000006,65.4,0.0382262996941896,67.9,0.0,0.0,0,0
2018-01-01,Not Available,Home & Furniture,Sofas,money_order,Medium,Not Available,0,67.0,5.0,0.2,1.3,335.0,67.0,268.0,266.7,53.339999999999996,53.6,0.004850746268656716,269.3,0.0,0.0,0,0
2018-01-01,Not Available,Home & Furniture,Towels,credit_card,High,Not Available,0,228.0,1.0,0.3,12.5,228.0,68.39999999999999,159.60000000000002,147.10000000000002,147.10000000000002,159.60000000000002,0.07832080200501253,172.10000000000002,0.0,0.0,0,0
2018-01-01,Not Available,Home & Furniture,Beds,credit_card,Medium,Not Available,0,78.0,2.0,0.5,2.0,156.0,78.0,78.0,76.0,38.0,39.0,0.02564102564102564,80.0,0.0,0.0,0,0
2018-01-01,Not Available,Electronic,Apple Laptop,credit_card,High,Not Available,0,250.0,1.0,0.1,16.8,250.0,25.0,225.0,208.2,208.2,225.0,0.07466666666666667,241.8,0.0,0.0,0,0
2018-01-01,Not Available,Auto & Accessories,Car Speakers,debit_card,High,Not Available,0,211.0,5.0,0.3,8.9,1055.0,316.5,738.5,729.6,145.92000000000002,147.7,0.012051455653351388,747.4,0.0,0.0,0,0
2018-01-01,Not Available,Home & Furniture,Towels,credit_card,Medium,Not Available,0,228.0,3.0,0.3,12.7,684.0,205.2,478.8,466.1,155.36666666666667,159.6,0.026524644945697576,491.5,0.0,0.0,0,0
2018-01-01,Not Available,Fashion,Suits,credit_card,Critical,Not Available,0,109.0,1.0,0.4,2.5,109.0,43.6,65.4,62.900000000000006,62.900000000000006,65.4,0.0382262996941896,67.9,0.0,0.0,0,0
