Date,Country,Category,ProductName,PaymentMethod,OrderPriority,ReturnStatus,ReturnBinary,UnitPrice,Quantity,Discount,ShippingCost,Revenue,Discount_Amount,Net_Revenue,Estimated_Profit,Profit_per_unit,Effective_UnitPrice,Shipping_Burden,Order_Value,stringencyindex,stay_home_requirement,is_covid,is_lockdown
1/1/2018,Not Available,Home & Furniture,Towels,credit_card,Medium,Not Available,0,228,2,0.2,13,456,91.2,364.8,351.8,175.9,182.4,0.035635965,377.8,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Shoe Rack,money_order,Medium,Not Available,0,124,3,0.4,2.9,372,148.8,223.2,220.3,73.43333333,74.4,0.012992832,226.1,0,0,0,0
1/1/2018,Not Available,Fashion,Sneakers,credit_card,Medium,Not Available,0,62,5,0.4,1.2,310,124,186,184.8,36.96,37.2,0.006451613,187.2,0,0,0,0
1/1/2018,Not Available,Fashion,Suits,credit_card,High,Not Available,0,109,1,0.4,2.5,109,43.6,65.4,62.9,62.9,65.4,0.0382263,67.9,0,0,0,0
1/1/2018,Not Available,Fashion,Casula Shoes,credit_card,Medium,Not Available,0,122,1,0.5,4.1,122,61,61,56.9,56.9,61,0.067213115,65.1,0,0,0,0
1/1/2018,Not Available,Fashion,Formal Shoes,credit_card,Medium,Not Available,0,213,2,0.3,12,426,127.8,298.2,286.2,143.1,149.1,0.040241449,310.2,0,0,0,0
1/1/2018,Not Available,Fashion,Suits,credit_card,High,Not Available,0,109,5,0.5,1.3,545,272.5,272.5,271.2,54.24,54.5,0.004770642,273.8,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Dinning Tables,money_order,High,Not Available,0,119,3,0.3,2.8,357,107.1,249.9,247.1,82.36666667,83.3,0.011204482,252.7,0,0,0,0
1/1/2018,Not Available,Fashion,Sneakers,credit_card,High,Not Available,0,62,1,0.3,1.6,62,18.6,43.4,41.8,41.8,43.4,0.036866359,45,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Towels,credit_card,High,Not Available,0,228,1,0.2,14.6,228,45.6,182.4,167.8,167.8,182.4,0.08004386,197,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Dinner Crockery,credit_card,Medium,Not Available,0,133,1,0.2,5,133,26.6,106.4,101.4,101.4,106.4,0.046992481,111.4,0,0,0,0
1/1/2018,Not Available,Auto & Accessories,Car Media Players,credit_card,High,Not Available,0,140,1,0.3,3.9,140,42,98,94.1,94.1,98,0.039795918,101.9,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Sofa Covers,credit_card,High,Not Available,0,216,4,0.2,12.7,864,172.8,691.2,678.5,169.625,172.8,0.018373843,703.9,0,0,0,0
1/1/2018,Not Available,Electronic,LED,credit_card,Medium,Not Available,0,192,1,0.2,10.8,192,38.4,153.6,142.8,142.8,153.6,0.0703125,164.4,0,0,0,0
1/1/2018,Not Available,Electronic,Apple Laptop,credit_card,High,Not Available,0,250,1,0.1,16.8,250,25,225,208.2,208.2,225,0.074666667,241.8,0,0,0,0
1/1/2018,Not Available,Auto & Accessories,Tyre,credit_card,Critical,Not Available,0,250,4,0.2,15,1000,200,800,785,196.25,200,0.01875,815,0,0,0,0
1/1/2018,Not Available,Fashion,Sports Wear,credit_card,Medium,Not Available,0,85,5,0.5,0.1,425,212.5,212.5,212.4,42.48,42.5,0.000470588,212.6,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Towels,credit_card,Medium,Not Available,0,228,1,0.4,13.9,228,91.2,136.8,122.9,122.9,136.8,0.101608187,150.7,0,0,0,0
1/1/2018,Not Available,Auto & Accessories,Car Pillow & Neck Rest,money_order,High,Not Available,0,231,5,0.1,13.9,1155,115.5,1039.5,1025.6,205.12,207.9,0.013371813,1053.4,0,0,0,0
1/1/2018,Not Available,Fashion,Formal Shoes,credit_card,Medium,Not Available,0,213,1,0.3,12.7,213,63.9,149.1,136.4,136.4,149.1,0.085177733,161.8,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Dinning Tables,credit_card,Medium,Not Available,0,119,1,0.2,3.4,119,23.8,95.2,91.8,91.8,95.2,0.035714286,98.6,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Bed Sheets,money_order,Medium,Not Available,0,211,1,0.3,11.8,211,63.3,147.7,135.9,135.9,147.7,0.079891672,159.5,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Umbrellas,credit_card,Medium,Not Available,0,70,5,0.3,1.4,350,105,245,243.6,48.72,49,0.005714286,246.4,0,0,0,0
1/1/2018,Not Available,Fashion,Jeans,money_order,Medium,Not Available,0,218,3,0.2,12.5,654,130.8,523.2,510.7,170.2333333,174.4,0.023891437,535.7,0,0,0,0
1/1/2018,Not Available,Fashion,Titak watch,credit_card,Medium,Not Available,0,228,1,0.4,13.9,228,91.2,136.8,122.9,122.9,136.8,0.101608187,150.7,0,0,0,0
1/1/2018,Not Available,Auto & Accessories,Car Speakers,credit_card,High,Not Available,0,211,5,0.1,12,1055,105.5,949.5,937.5,187.5,189.9,0.012638231,961.5,0,0,0,0
1/1/2018,Not Available,Fashion,Fossil Watch,credit_card,Medium,Not Available,0,159,1,0.4,7.3,159,63.6,95.4,88.1,88.1,95.4,0.076519916,102.7,0,0,0,0
1/1/2018,Not Available,Fashion,Suits,credit_card,Critical,Not Available,0,109,1,0.4,2.5,109,43.6,65.4,62.9,62.9,65.4,0.0382263,67.9,0,0,0,0
1/1/2018,Not Available,Fashion,Running Shoes,credit_card,Medium,Not Available,0,224,2,0.1,14,448,44.8,403.2,389.2,194.6,201.6,0.034722222,417.2,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Bed Sheets,debit_card,Medium,Not Available,0,211,4,0.2,12.3,844,168.8,675.2,662.9,165.725,168.8,0.018216825,687.5,0,0,0,0
1/1/2018,Not Available,Fashion,Suits,credit_card,Medium,Not Available,0,109,2,0.1,2.7,218,21.8,196.2,193.5,96.75,98.1,0.013761468,198.9,0,0,0,0
1/1/2018,Not Available,Fashion,Jeans,credit_card,Medium,Not Available,0,218,2,0.5,13.4,436,218,218,204.6,102.3,109,0.06146789,231.4,0,0,0,0
1/1/2018,Not Available,Auto & Accessories,Car Media Players,e_wallet,Medium,Not Available,0,140,4,0.3,4.3,560,168,392,387.7,96.925,98,0.010969388,396.3,0,0,0,0
1/1/2018,Not Available,Fashion,Shirts,credit_card,Medium,Not Available,0,196,1,0.5,10.6,196,98,98,87.4,87.4,98,0.108163265,108.6,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Shoe Rack,credit_card,Medium,Not Available,0,124,5,0.3,1.3,620,186,434,432.7,86.54,86.8,0.002995392,435.3,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Dinner Crockery,credit_card,Medium,Not Available,0,133,5,0.2,4,665,133,532,528,105.6,106.4,0.007518797,536,0,0,0,0
1/1/2018,Not Available,Fashion,Running Shoes,money_order,High,Not Available,0,224,1,0.5,11.7,224,112,112,100.3,100.3,112,0.104464286,123.7,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Dinning Tables,money_order,High,Not Available,0,119,1,0.3,3.3,119,35.7,83.3,80,80,83.3,0.039615846,86.6,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Beds,credit_card,Medium,Not Available,0,78,2,0.5,2,156,78,78,76,38,39,0.025641026,80,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Sofa Covers,credit_card,Medium,Not Available,0,216,3,0.5,10.4,648,324,324,313.6,104.5333333,108,0.032098765,334.4,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Shoe Rack,credit_card,Medium,Not Available,0,124,2,0.3,2.9,248,74.4,173.6,170.7,85.35,86.8,0.016705069,176.5,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Dinning Tables,credit_card,Low,Not Available,0,119,1,0.1,3.8,119,11.9,107.1,103.3,103.3,107.1,0.035480859,110.9,0,0,0,0
1/1/2018,Not Available,Fashion,Casula Shoes,credit_card,Medium,Not Available,0,122,1,0.4,4,122,48.8,73.2,69.2,69.2,73.2,0.054644809,77.2,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Towels,credit_card,Medium,Not Available,0,228,3,0.3,12.7,684,205.2,478.8,466.1,155.3666667,159.6,0.026524645,491.5,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Towels,credit_card,High,Not Available,0,228,2,0.4,13,456,182.4,273.6,260.6,130.3,136.8,0.04751462,286.6,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Beds,credit_card,Medium,Not Available,0,78,3,0.3,2.6,234,70.2,163.8,161.2,53.73333333,54.6,0.015873016,166.4,0,0,0,0
1/1/2018,Not Available,Auto & Accessories,Tyre,credit_card,High,Not Available,0,250,1,0.1,16.5,250,25,225,208.5,208.5,225,0.073333333,241.5,0,0,0,0
1/1/2018,Not Available,Auto & Accessories,Car Pillow & Neck Rest,credit_card,High,Not Available,0,231,4,0.2,13.3,924,184.8,739.2,725.9,181.475,184.8,0.017992424,752.5,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Towels,credit_card,High,Not Available,0,228,3,0.4,12.1,684,273.6,410.4,398.3,132.7666667,136.8,0.029483431,422.5,0,0,0,0
1/1/2018,Not Available,Auto & Accessories,Car Speakers,debit_card,High,Not Available,0,211,5,0.3,8.9,1055,316.5,738.5,729.6,145.92,147.7,0.012051456,747.4,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Sofa Covers,credit_card,Medium,Not Available,0,216,4,0.2,12.7,864,172.8,691.2,678.5,169.625,172.8,0.018373843,703.9,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Sofas,e_wallet,Medium,Not Available,0,67,4,0.4,1.7,268,107.2,160.8,159.1,39.775,40.2,0.010572139,162.5,0,0,0,0
1/1/2018,Not Available,Home & Furniture,Towels,credit_card,High,Not Available,0,228,1,0.3,12.5,228,68.4,159.6,147.1,147.1,159.6,0.078320802,172.1,0,0,0,0
1/1/2018,Not Available,Fashion,Shirts,credit_card,Critical,Not Available,0,196,1,0.5,10.6,196,98,98,87.4,87.4,98,0.108163265,108.6,0,0,0,0
